Entity Name,Entity ID,Fiscal Year,Hangar Space Rentals_Operating Revenues,Aircraft Parking_Operating Revenues,Building Rentals_Operating Revenues,Lease of Ground Area_Operating Revenues,Fuel Flowage Fees_Operating Revenues,"Landing, Gate, and Ramp Fees_Operating Revenues",Concession Revenues_Operating Revenues,Sales and Services_Operating Revenues,Other Operating Revenues_Operating Revenues,Total Operating Revenues,Landing Areas_Maintenance and Operation_Operating Expenses,Aircraft Parking_Maintenance and Operation_Operating Expenses,Hangars_Maintenance and Operation_Operating Expenses,Terminal Buildings and Areas_Maintenance and Operation_Operating Expenses,Other Buildings and Areas_Maintenance and Operation_Operating Expenses,General Shops and Equipment_Maintenance and Operation_Operating Expenses,Personnel Services_Operating Expenses,Contractual Services_Operating Expenses,Materials and Supplies_Operating Expenses,General and Administrative Expenses_Operating Expenses,Cost of Sales and Services_Operating Expenses,Depreciation and Amortization Expenses_Operating Expenses,Other Operating Expenses_Operating Expenses,Total Operating Expenses,Operating Income (Loss),Investment Income_Nonoperating Revenues,"Rents, Leases, Concessions, and Royalties_Nonoperating Revenues",Passenger Facility Charges_Nonoperating Revenues,Aid for Construction_Intergovernmental ? Federal_Nonoperating Revenues,Other Intergovernmental ? Federal_Intergovernmental ? Federal_Nonoperating Revenues,Aid for Construction_Intergovernmental ? State_Nonoperating Revenues,In-Lieu Taxes_Intergovernmental ? State_Nonoperating Revenues,Other Intergovernmental ? State_Intergovernmental ? State_Nonoperating Revenues,Intergovernmental ? County_Nonoperating Revenues,Intergovernmental ? Other_Nonoperating Revenues,Gain on Disposal of Capital Assets_Nonoperating Revenues,Other Nonoperating Revenues_Nonoperating Revenues,Total Nonoperating Revenues,Interest Expense_Nonoperating Expenses,Taxes and Assessments_Nonoperating Expenses,Judgments and Damages_Nonoperating Expenses,Loss on Disposal of Capital Assets_Nonoperating Expenses,Other Nonoperating Expenses_Nonoperating Expenses,Total Nonoperating Expenses,"Income (Loss) Before Capital Contributions, Transfers, and Special and Extraordinary Items",Federal_Capital Contributions,State_Capital Contributions,County_Capital Contributions,Other Government_Capital Contributions,Other Capital Contributions_Capital Contributions,Total Capital Contributions,Transfers In,Transfers Out,Special Item_Special and Extraordinary Items,Extraordinary Item_Special and Extraordinary Items,Total Special and Extraordinary Items,Change in Net Position,"Net Position (Deficit), Beginning of Fiscal Year",Adjustment,Reason for Adjustment,"Net Position (Deficit), End of Fiscal Year",Net Investment in Capital Assets_Net Position (Deficit),Restricted_Net Position (Deficit),Unrestricted_Net Position (Deficit),Total Net Position (Deficit),Total Acreage_Statistics,Length of Longest Runway Surfaced_Statistics,Length of Longest Runway Unimproved_Statistics,Length of Longest Taxiway Surfaced_Statistics,Length of Longest Taxiway Unimproved_Statistics,Parking Apron Acreage Surfaced_Statistics,Parking Apron Acreage Unimproved_Statistics,Aircraft Tie-Down Acreage_Statistics,Auto Parking Acreage_Statistics,Total Number of Tenant Aircraft_Statistics,Number of Hangars_Statistics,Total Aircraft Movements_Statistics,Annual Fuel Consumption (Gallons)_Statistics,Year of Acquisition_Statistics,Number of Passengers Enplaned_Statistics,Number of Passengers Deplaned_Statistics,Pounds of Air Cargo and Express_Statistics,Pounds of Mail_Statistics,Number of Air Carriers Scheduled per Day_Statistics,Are airport services provided by other than the local agency? (Report Yes or No)_Statistics
Hollister,1306,2024,767671,9443,254163,332334,20573,27285,NULL,NULL,71942,1483411,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1570259,NULL,NULL,NULL,1570259,-86848,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,3,NULL,NULL,NULL,NULL,3,-86851,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,-86851,18102101,NULL,NULL,18015250,18856715,NULL,-841465,18015250,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No
Lincoln,1350,2024,777971,NULL,NULL,NULL,1252245,NULL,NULL,NULL,37643,2067859,NULL,NULL,NULL,NULL,NULL,NULL,321882,90197,946259,125247,NULL,214110,NULL,1697695,370164,39874,NULL,NULL,NULL,27615,NULL,61266,NULL,NULL,NULL,NULL,NULL,128755,NULL,NULL,NULL,NULL,101391,101391,397528,NULL,NULL,NULL,NULL,NULL,0,NULL,-163398,NULL,NULL,0,234130,107612,32000,Prior period adjustment,373742,5316633,NULL,-4942891,373742,774,6001,NULL,6001,NULL,16,NULL,16,0,323,218,95000,165631,1942,437,462,NULL,NULL,NULL,No
Livermore,1353,2024,2756368,14313,85639,328417,120159,NULL,NULL,381462,14982,3701340,NULL,NULL,NULL,NULL,NULL,NULL,1954655,248857,69855,624031,NULL,329642,NULL,3227040,474300,672840,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,643334,1316174,96283,NULL,NULL,NULL,NULL,96283,1694191,151000,NULL,NULL,NULL,NULL,151000,NULL,NULL,NULL,NULL,0,1845191,22449941,-25648,Restatement (FS Note 19),24269484,17007389,NULL,7262095,24269484,644,5253,0,5720,0,173,0,12,1,466,393,183190,1026203,1961,0,0,0,0,0,No
Lompoc,1358,2024,368137,NULL,NULL,NULL,NULL,NULL,NULL,237456,4315312,4920905,NULL,NULL,NULL,NULL,NULL,NULL,81812,NULL,NULL,NULL,NULL,793197,361659,1236668,3684237,-99206,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-99206,1102,NULL,NULL,NULL,NULL,1102,3583929,NULL,NULL,NULL,NULL,NULL,0,44746,NULL,NULL,NULL,0,3628675,14044922,NULL,NULL,17673597,17712825,NULL,-39228,17673597,193,4600,0,4600,0,17,0,9,1,81,78,10000,38451,1991,0,0,0,0,0,No
Long Beach,1359,2024,NULL,NULL,563000,11056000,204000,25389000,11186000,NULL,15348000,63746000,6266000,NULL,NULL,3984000,NULL,NULL,15381000,5078000,1103000,1221000,NULL,17284000,15843000,66160000,-2414000,2855000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1814000,4669000,4766000,NULL,NULL,NULL,NULL,4766000,-2511000,17695000,NULL,NULL,NULL,NULL,17695000,NULL,-119000,NULL,NULL,0,15065000,289255000,NULL,NULL,304320000,264071000,44981000,-4732000,304320000,1175,10000,NULL,5808,NULL,10,NULL,50,30,303,91,389031,29118946,1924,2072058,2081818,32235265,227561,46,No
Los Angeles,1364,2024,12723140,11924725,923580609,132274617,5647882,347646053,512406226,9686593,2221185,1958111030,50717980,NULL,NULL,235232932,NULL,48186404,320515533,193704169,21243443,96032349,NULL,765423101,NULL,1731055911,227055119,182040917,NULL,151506267,NULL,2491557,NULL,NULL,NULL,NULL,NULL,NULL,83580002,419618743,431491908,NULL,NULL,11153681,30226539,472872128,173801734,117645372,NULL,212481,800000,9948313,128606166,NULL,NULL,NULL,NULL,0,302407900,6132040548,NULL,NULL,6434448448,5298165250,593303183,542980015,6434448448,21530,12923,NULL,15340,NULL,NULL,NULL,NULL,13150,NULL,38,912514,NULL,1928,38339553,38176503,4657008000,128152508,125,No
Los Banos,1365,2024,NULL,411,103520,NULL,NULL,NULL,152091,NULL,299,256321,NULL,NULL,NULL,NULL,NULL,NULL,22344,15294,3655,22293,120120,92652,59661,336019,-79698,35065,NULL,NULL,NULL,NULL,NULL,7590,10000,NULL,NULL,NULL,NULL,52655,NULL,NULL,NULL,63307,NULL,63307,-90350,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,-90350,1629586,NULL,NULL,1539236,672960,NULL,866276,1539236,124,3800,NULL,3800,NULL,2,NULL,2,1,25,28,NULL,38722,1940,NULL,NULL,NULL,NULL,NULL,No
Madera,1369,2024,172190,5058,11300,NULL,NULL,NULL,NULL,3710,321445,513703,NULL,NULL,NULL,NULL,NULL,NULL,212221,NULL,40988,279872,NULL,297675,16785,847541,-333838,64890,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,154308,219198,NULL,NULL,NULL,NULL,NULL,0,-114640,NULL,NULL,NULL,NULL,1174527,1174527,9840,-36782,NULL,NULL,0,1032945,11879814,-1,Beginning balance adjustment,12912758,11122887,NULL,1789871,12912758,920,5544,3702,6345,2600,16,NULL,6,1,128,109,53600,80047,1947,NULL,NULL,NULL,NULL,NULL,No
Marina,1375,2024,141485,1183599,NULL,NULL,NULL,149562,NULL,386772,NULL,1861418,6646,NULL,NULL,88195,120320,48919,390211,121767,NULL,338106,290236,721287,NULL,2125687,-264269,209837,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,209837,NULL,NULL,NULL,NULL,NULL,0,-54432,NULL,NULL,NULL,NULL,41671,41671,80292,-974800,NULL,NULL,0,-907269,47904431,-569381,audit report was not finalized ,46427781,44869009,NULL,1558772,46427781,1060,3483,NULL,3483,NULL,13,NULL,8,4,49,52,12499,59997,1995,NULL,NULL,NULL,NULL,NULL,No
Merced,1382,2024,164202,1302,63630,37708,8101,21004,NULL,5700,50,301697,NULL,NULL,NULL,NULL,NULL,NULL,319206,NULL,NULL,-18410,NULL,453837,NULL,754633,-452936,104738,NULL,NULL,NULL,3627670,NULL,NULL,NULL,NULL,NULL,NULL,56000,3788408,NULL,NULL,NULL,NULL,NULL,0,3335472,NULL,NULL,NULL,NULL,NULL,0,269873,-14778,NULL,NULL,0,3590567,3724475,NULL,NULL,7315042,7374139,13302222,-13361319,7315042,450,5914,NULL,5914,NULL,10,NULL,16,2,66,91,58650,111384,1940,4777,4588,274759,0,1,No
Modesto,1387,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,948663,13023,961686,NULL,NULL,NULL,NULL,NULL,NULL,390866,148817,117214,75049,NULL,656160,351115,1739221,-777535,117465,319847,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,765925,1203237,NULL,NULL,NULL,NULL,2001,2001,423701,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,423701,11596511,NULL,NULL,12020212,8408422,NULL,3611790,12020212,450,5911,NULL,5911,NULL,150,NULL,28,20,157,133,49543,762736,1936,NULL,NULL,439380,NULL,NULL,No
Montague,1389,2024,7977,NULL,NULL,NULL,441,NULL,NULL,NULL,NULL,8418,NULL,NULL,10218,NULL,NULL,3117,NULL,NULL,NULL,NULL,NULL,32542,NULL,45877,-37459,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10000,NULL,5000,NULL,NULL,15000,NULL,NULL,NULL,NULL,NULL,0,-22459,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,-22459,615285,NULL,NULL,592826,377093,NULL,215733,592826,330,3360,2080,3360,NULL,6,1,3,1,15,17,1300,6340,1925,300,300,1040000,NULL,2,No
Oakdale,1413,2024,181100,NULL,NULL,NULL,NULL,NULL,NULL,442013,604,623717,NULL,NULL,NULL,NULL,NULL,NULL,27236,38622,118880,NULL,376148,186172,NULL,747058,-123341,7380,NULL,NULL,NULL,NULL,NULL,5223,20000,NULL,NULL,NULL,NULL,32603,NULL,NULL,NULL,NULL,NULL,0,-90738,-133633,NULL,NULL,NULL,NULL,-133633,NULL,NULL,NULL,NULL,0,-224371,6084566,NULL,NULL,5860195,5419857,NULL,440338,5860195,120,3011,NULL,3011,NULL,2,NULL,4,1,80,22,NULL,35000,NULL,NULL,NULL,NULL,NULL,NULL,No
Oakland,1414,2024,6405686,418425,55154265,25536094,3566962,38488582,67798762,3859833,6851391,208080000,NULL,NULL,NULL,NULL,NULL,NULL,34738000,54062000,1551000,29302000,8026000,64767000,42292000,234738000,-26658000,24545000,NULL,20678000,NULL,25180000,NULL,NULL,NULL,NULL,NULL,NULL,3472000,73875000,2855816,NULL,NULL,664000,5407184,8927000,38290000,18453638,9362,NULL,NULL,NULL,18463000,NULL,NULL,NULL,NULL,0,56753000,0,-56753000,Transfer to Harbor P&L Statement,0,NULL,NULL,NULL,0,2600,10000,NULL,NULL,NULL,NULL,NULL,NULL,71,193,154,221222,102639832,NULL,5603253,5626102,1106920,7205111,13,No
Oceanside,1416,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,149508,149508,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,76046,18642,94688,54820,49030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,49030,NULL,NULL,NULL,NULL,NULL,0,103850,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,103850,3654271,NULL,NULL,3758121,4288223,NULL,-530102,3758121,3000,NULL,3000,NULL,NULL,NULL,NULL,NULL,NULL,87,44,30167,143521,NULL,NULL,NULL,NULL,NULL,NULL,Yes
Oroville,1423,2024,175691,NULL,194020,NULL,256725,NULL,NULL,NULL,2476,628912,NULL,NULL,NULL,NULL,NULL,NULL,194238,416785,33759,NULL,NULL,264754,NULL,909536,-280624,16241,NULL,NULL,NULL,39209,NULL,NULL,NULL,NULL,NULL,NULL,NULL,55450,NULL,NULL,NULL,NULL,NULL,0,-225174,NULL,NULL,NULL,NULL,NULL,0,NULL,-87114,NULL,NULL,0,-312288,4540691,NULL,NULL,4228403,NULL,NULL,4228403,4228403,920,6020,NULL,6000,NULL,8,NULL,5,1,42,42,NULL,63425,1948,1210000,NULL,NULL,NULL,NULL,No
Palm Springs,1428,2024,59158970,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,59158970,NULL,NULL,NULL,NULL,2734,NULL,17007784,NULL,3682964,2537252,NULL,5008626,12270244,40509604,18649366,4355741,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3588083,2475,NULL,7946299,525216,NULL,NULL,NULL,NULL,525216,26070449,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,26070449,157010228,NULL,NULL,183080677,91662416,3053359,88364902,183080677,940,10000,0,10000,0,48,0,15,21,69,84,60874,25263309,1949,1634536,1441576,508726,0,15,Yes
Palo Alto,1430,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2182002,968030,3150032,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2755405,NULL,85726,NULL,2841131,308901,-26603,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-26603,59466,NULL,NULL,NULL,27113,86579,195719,3177922,NULL,NULL,NULL,NULL,3177922,NULL,-1500,NULL,NULL,0,3372141,39650173,NULL,NULL,43022314,45481673,NULL,-2459359,43022314,102,2443,NULL,2443,NULL,40,3,40,2,398,63,151002,506163,1934,NULL,NULL,NULL,NULL,NULL,No
Petaluma,1438,2024,1210328,6786,NULL,NULL,747095,NULL,NULL,1223,NULL,1965432,NULL,NULL,NULL,NULL,NULL,NULL,528349,169717,134027,356843,515187,352522,643,2057288,-91856,42145,NULL,NULL,NULL,638668,NULL,NULL,NULL,180337,NULL,NULL,NULL,861150,31868,NULL,NULL,NULL,NULL,31868,737426,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,737426,12334089,NULL,NULL,13071515,11930912,NULL,1140603,13071515,220,3600,NULL,3700,NULL,7,NULL,7,1,179,214,50000,130000,1985,NULL,NULL,54000,NULL,NULL,No
Porterville,1452,2024,45961,480,6300,196230,1270,46800,15311,1650727,9435,1972514,NULL,NULL,NULL,NULL,10331,33735,382852,5671,584,188554,1157119,460527,NULL,2239373,-266859,308171,NULL,NULL,NULL,NULL,10000,NULL,NULL,NULL,NULL,NULL,NULL,318171,880,NULL,NULL,NULL,NULL,880,50432,3619496,NULL,NULL,NULL,NULL,3619496,7070,NULL,NULL,NULL,0,3676998,10648852,NULL,NULL,14325850,8941248,NULL,5384602,14325850,728,5908,NULL,5908,NULL,8,NULL,8,3,89,52,NULL,304159,1948,NULL,NULL,NULL,NULL,NULL,No
Red Bluff,1460,2024,NULL,NULL,105612,NULL,NULL,NULL,NULL,NULL,25062,130674,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33558,NULL,161887,48728,244173,-113499,16700,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10000,NULL,179260,205960,NULL,NULL,NULL,NULL,NULL,0,92461,NULL,NULL,NULL,NULL,196478,196478,NULL,-95289,NULL,NULL,0,193650,2642771,NULL,NULL,2836421,2185385,NULL,651036,2836421,601,5431,NULL,3935,NULL,7,NULL,7,1,129,81,37000,43778,1927,1500,1500,14000,NULL,NULL,No
Redding,1461,2024,653897,5314,691140,441034,199619,195355,887728,NULL,-3290,3070797,26230,NULL,NULL,65284,NULL,286624,1724383,471939,200688,1047669,NULL,1841941,NULL,5664758,-2593961,-1688,NULL,347786,NULL,340394,NULL,NULL,NULL,NULL,NULL,249792,396457,1332741,13459,NULL,NULL,NULL,NULL,13459,-1274679,66718,16629,NULL,NULL,51221,134568,NULL,-307236,NULL,NULL,0,-1447347,37108880,NULL,NULL,35661533,38940353,NULL,-3278820,35661533,1862,7003,7400,6500,0,30,0,24,5,331,241,46359,2041663,1927,91251,90863,1156163,0,5,Yes
Redlands,1462,2024,NULL,NULL,189236,134839,1838,15498,NULL,NULL,4777,346188,NULL,NULL,NULL,NULL,NULL,NULL,204623,NULL,47898,235618,NULL,223085,48281,759505,-413317,28207,NULL,NULL,49550,NULL,NULL,NULL,NULL,NULL,NULL,NULL,104411,182168,30316,NULL,NULL,NULL,NULL,30316,-261465,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,-261465,2698671,NULL,NULL,2437206,3308771,NULL,-871565,2437206,180,4505,NULL,4505,NULL,25,3,18,3,235,201,65000,88000,1966,NULL,NULL,NULL,NULL,NULL,No
Reedley,1465,2024,124032,NULL,122177,NULL,NULL,NULL,NULL,NULL,1137,247346,NULL,NULL,NULL,NULL,NULL,NULL,74431,75655,299226,NULL,NULL,161312,NULL,610624,-363278,13369,NULL,NULL,NULL,247760,NULL,15866,NULL,NULL,NULL,NULL,NULL,276995,NULL,NULL,NULL,NULL,NULL,0,-86283,NULL,NULL,NULL,NULL,NULL,0,578583,NULL,NULL,NULL,0,492300,4772299,NULL,NULL,5264599,4741926,NULL,522673,5264599,43,3300,240,NULL,NULL,NULL,NULL,NULL,NULL,68,59,NULL,18000,1975,NULL,NULL,0,NULL,NULL,Yes
Rialto,1466,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,151799,151799,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1258,NULL,NULL,NULL,1258,150541,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,20,NULL,NULL,NULL,NULL,NULL,0,150561,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,150561,9565947,NULL,NULL,9716508,NULL,NULL,9716508,9716508,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes
Rio Vista,1470,2024,179620,1496,NULL,38128,NULL,NULL,37849,NULL,4482,261575,NULL,NULL,NULL,84078,NULL,NULL,36221,95161,76524,13278,NULL,391206,NULL,696468,-434893,8555,NULL,NULL,NULL,39882,NULL,NULL,10000,NULL,NULL,NULL,NULL,58437,3848,NULL,NULL,NULL,3536,7384,-383840,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,-383840,6091684,NULL,NULL,5707844,6625268,NULL,-917424,5707844,273,4200,NULL,4200,NULL,2,NULL,2,1,56,56,NULL,35099,1995,NULL,NULL,NULL,NULL,NULL,No
Riverside,1473,2024,597232,NULL,208985,990831,NULL,NULL,NULL,NULL,241609,2038657,NULL,NULL,NULL,NULL,NULL,NULL,809336,133462,30152,235086,NULL,752696,456845,2417577,-378920,126341,NULL,NULL,NULL,46340,NULL,NULL,NULL,NULL,NULL,NULL,113647,286328,22028,NULL,NULL,20241,NULL,42269,-134861,69139,NULL,NULL,NULL,NULL,69139,1000000,NULL,NULL,NULL,0,934278,21316072,3476,Correction of beginning balance.,22253826,20488000,37982,1727844,22253826,525,5401,NULL,5401,NULL,23,NULL,17,2,205,167,144092,549322,1949,NULL,NULL,NULL,NULL,NULL,Yes
Salinas,1482,2024,1985767,NULL,NULL,NULL,NULL,NULL,NULL,NULL,143233,2129000,NULL,NULL,NULL,NULL,NULL,NULL,948765,385076,138009,71369,NULL,955744,12313,2511276,-382276,378256,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,323454,701710,NULL,NULL,NULL,NULL,NULL,0,319434,NULL,NULL,NULL,NULL,NULL,0,NULL,-120522,NULL,NULL,0,198912,17648649,-2233,Beginning balance restated,17845328,15144186,NULL,2701142,17845328,785,6004,NULL,6050,NULL,15,NULL,15,1,205,219,49994,672407,1946,NULL,NULL,NULL,NULL,NULL,No
San Diego,1489,2024,NULL,561858,2661268,1676943,330511,130929,3974439,44383,23269,9403600,566942,461689,172769,888668,2010976,114019,1460090,934209,59556,340225,0,3593423,3070,10605636,-1202036,889867,NULL,NULL,NULL,180000,NULL,NULL,NULL,NULL,NULL,NULL,116671,1186538,NULL,NULL,NULL,NULL,8659,8659,-24157,NULL,NULL,NULL,NULL,115733,115733,NULL,NULL,NULL,NULL,0,91576,63074158,NULL,NULL,63165734,45210989,NULL,17954745,63165734,1425,7972,NULL,11434,NULL,7,NULL,31,3,570,493,450649,4005477,NULL,NULL,NULL,NULL,NULL,NULL,No
San Francisco,1492,2024,12777297,8686492,511743941,22220693,22336159,323335933,161927028,89223889,249138644,1401390076,NULL,NULL,NULL,NULL,NULL,NULL,316284514,114854302,19175237,7206263,NULL,358872028,160164114,976556458,424833618,156780102,NULL,112601952,NULL,279629,NULL,NULL,NULL,NULL,NULL,NULL,7085495,276747178,379692407,NULL,NULL,24565106,35199229,439456742,262124054,63908998,NULL,NULL,NULL,NULL,63908998,NULL,-55599895,NULL,NULL,0,270433157,-822917011,NULL,NULL,-552483854,-1934425443,997587885,384353704,-552483854,2275,11870,NULL,12150,NULL,426,NULL,NULL,278,NULL,8,379839,NULL,NULL,25515536,25614735,1143080580,37233343,67,No
San Jose,1496,2024,331781,88599,81979760,10989944,2667369,33175027,24555636,59614696,8019339,221422151,24933814,466457,1746765,48638738,NULL,NULL,NULL,NULL,NULL,25182921,18770901,57192314,NULL,176931910,44490241,17751320,NULL,22483810,NULL,10315349,NULL,NULL,NULL,NULL,NULL,NULL,10771851,61322330,39761053,NULL,NULL,NULL,8834433,48595486,57217085,17290553,NULL,NULL,NULL,NULL,17290553,715663,NULL,NULL,NULL,0,75223301,313217817,NULL,NULL,388441118,183325648,58201477,146913993,388441118,1124,11000,NULL,11000,NULL,79,NULL,7,55,71,46,163761,89831234,1945,5963267,5978110,62987781,1051012,293,No
Santa Barbara,1510,2024,NULL,NULL,NULL,22119478,NULL,NULL,NULL,9821623,197740,32138841,NULL,NULL,NULL,NULL,NULL,NULL,11604098,NULL,16337182,NULL,NULL,6713936,NULL,34655216,-2516375,2196704,NULL,NULL,5991085,NULL,NULL,NULL,NULL,NULL,NULL,NULL,188823,8376612,1294420,NULL,NULL,NULL,NULL,1294420,4565817,3333,NULL,NULL,NULL,NULL,3333,NULL,-604914,NULL,NULL,0,3964236,147475874,140720,PY ACFR had not been issued at the time of FTR prep,151580830,132539685,5049861,13991284,151580830,952,6052,4184,6052,NULL,4,0,11,14,148,31,99873,4000956,NULL,659136,655524,3110186,NULL,20,No
Santa Monica,1516,2024,5835004,422828,8933270,1384366,50764,404957,NULL,NULL,194849,17226038,39040,NULL,NULL,NULL,1383227,47500,2210682,4160369,14374094,3189222,NULL,287778,2470494,28162406,-10936368,1978700,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1389803,3368503,NULL,NULL,NULL,NULL,NULL,0,-7567865,NULL,NULL,NULL,NULL,NULL,0,17871,-647599,NULL,NULL,0,-8197593,46381672,NULL,NULL,38184079,3190720,NULL,34993359,38184079,227,3500,NULL,4350,NULL,NULL,NULL,8,10,212,210,55300,486786,1919,NULL,NULL,NULL,NULL,NULL,No
South Lake Tahoe,1539,2024,701135,NULL,432932,107127,71277,324270,11748,NULL,19693,1668182,396114,NULL,NULL,540953,9719,52748,971492,745352,NULL,109674,NULL,1448357,NULL,4274409,-2606227,99261,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8991,108252,1818,NULL,NULL,54535,NULL,56353,-2554328,571047,20003,NULL,NULL,NULL,591050,NULL,NULL,NULL,NULL,0,-1963278,18599502,NULL,NULL,16636224,16259046,NULL,377178,16636224,378,8541,NULL,8541,NULL,18,NULL,10,2,38,57,26483,353017,NULL,NULL,NULL,NULL,NULL,NULL,Yes
Susanville,1547,2024,92986,NULL,NULL,NULL,4586,NULL,NULL,NULL,11909,109481,NULL,NULL,NULL,NULL,NULL,NULL,31101,5854,16313,70131,NULL,158160,NULL,281559,-172078,3089,NULL,NULL,111209,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,114298,386,NULL,NULL,NULL,NULL,386,-58166,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,-58166,3478155,-719403,Adjustment to match prior year ending audited financial statements.,2700586,2579733,NULL,120853,2700586,111,4050,2100,4050,NULL,3,1,2,111,38,34,10500,61288,1928,NULL,NULL,NULL,NULL,NULL,No
Tehachapi,1550,2024,210187,955,155849,15071,NULL,NULL,NULL,485195,11377,878634,NULL,NULL,NULL,NULL,NULL,NULL,347119,56936,18842,269118,417482,105986,NULL,1215483,-336849,5396,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5396,4106,NULL,NULL,15006,NULL,19112,-350565,2143928,7981,NULL,NULL,NULL,2151909,3103,NULL,NULL,NULL,0,1804447,1834718,NULL,NULL,3639165,4769539,NULL,-1130374,3639165,230,4035,NULL,4050,NULL,NULL,NULL,3,NULL,83,83,10000,96000,1981,NULL,NULL,NULL,NULL,NULL,No
Torrance,1556,2024,3411220,221223,NULL,13407340,7331,NULL,NULL,NULL,1213766,18260880,NULL,NULL,136180,86822,NULL,838887,890455,4263853,4007,668916,NULL,260581,1096,7150797,11110083,5164100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5164100,NULL,NULL,NULL,NULL,NULL,0,16274183,NULL,NULL,NULL,NULL,NULL,0,NULL,-10454994,NULL,NULL,0,5819189,30874487,NULL,NULL,36693676,8374460,NULL,28319216,36693676,370,5001,3000,5000,NULL,NULL,NULL,NULL,NULL,577,432,149718,166548,1948,NULL,NULL,NULL,NULL,NULL,No
Tracy,1557,2024,239322,NULL,NULL,128864,NULL,NULL,494180,NULL,NULL,862366,NULL,NULL,NULL,NULL,NULL,NULL,337445,66047,597174,33627,NULL,1133825,NULL,2168118,-1305752,22622,NULL,NULL,41684,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,64306,NULL,NULL,NULL,NULL,NULL,0,-1241446,16314,NULL,NULL,NULL,NULL,16314,NULL,NULL,NULL,NULL,0,-1225132,12978402,NULL,NULL,11753270,12290270,NULL,-537000,11753270,310,4002,NULL,4002,NULL,22,14,4,4,103,76,58765,103853,1949,NULL,NULL,NULL,NULL,NULL,No
